CFE data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CFE data is subject to the Terms and Conditions of CBOE's Websites.
Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
05/05/2016,Z (Dec 16),20.95,21.25,20.74,21.05,21.0750,0.12,155,0,2004
05/06/2016,Z (Dec 16),21.05,21.32,20.73,20.78,20.7750,-0.30,113,0,2064
05/09/2016,Z (Dec 16),20.75,20.80,20.45,20.70,20.7000,-0.08,214,0,2068
05/10/2016,Z (Dec 16),20.72,20.75,20.23,20.23,20.2500,-0.45,222,0,2125
05/11/2016,Z (Dec 16),20.32,20.70,20.14,20.70,20.7000,0.45,363,0,2284
05/12/2016,Z (Dec 16),20.70,20.81,20.35,20.55,20.5000,-0.20,500,0,2474
05/13/2016,Z (Dec 16),20.55,20.87,20.30,20.80,20.8000,0.30,274,0,2572
05/16/2016,Z (Dec 16),20.70,20.85,20.28,20.39,20.4000,-0.40,688,0,3055
05/17/2016,Z (Dec 16),20.45,21.00,20.32,20.90,20.9000,0.50,1005,0,3522
05/18/2016,Z (Dec 16),20.97,21.22,20.75,21.10,21.0750,0.18,2572,0,4713
05/19/2016,Z (Dec 16),21.05,21.55,21.05,21.15,21.1250,0.05,3081,0,6289
05/20/2016,Z (Dec 16),21.13,21.13,20.85,20.95,20.9500,-0.18,2672,0,7419
05/23/2016,Z (Dec 16),20.96,21.10,20.68,20.80,20.7500,-0.20,1686,0,7991
05/24/2016,Z (Dec 16),20.75,20.82,20.18,20.25,20.2250,-0.52,2196,0,8068
05/25/2016,Z (Dec 16),20.25,20.26,19.93,20.10,20.0750,-0.15,1611,0,8400
05/26/2016,Z (Dec 16),20.08,20.20,19.88,19.95,19.9250,-0.15,1175,0,8505
05/27/2016,Z (Dec 16),19.95,20.00,19.73,19.80,19.7750,-0.15,1567,0,9022
05/31/2016,Z (Dec 16),19.70,20.07,19.65,19.75,19.7250,-0.05,2035,0,9529
06/01/2016,Z (Dec 16),19.73,19.95,19.65,19.75,19.7250,0.00,1006,0,9740
06/02/2016,Z (Dec 16),19.75,19.98,19.63,19.70,19.6750,-0.05,1880,0,10171
06/03/2016,Z (Dec 16),19.70,20.15,19.50,19.60,19.5750,-0.10,2279,0,10345
06/06/2016,Z (Dec 16),19.60,19.82,19.54,19.65,19.6250,0.05,3193,0,10444
06/07/2016,Z (Dec 16),19.65,19.75,19.48,19.75,19.7250,0.10,3546,0,11031
06/08/2016,Z (Dec 16),19.71,19.92,19.58,19.85,19.8250,0.10,3537,0,11656
06/09/2016,Z (Dec 16),19.82,20.20,19.78,20.15,20.1750,0.35,4041,0,12528
06/10/2016,Z (Dec 16),20.15,20.82,20.15,20.70,20.6750,0.50,4767,0,12850
06/13/2016,Z (Dec 16),20.82,21.81,20.82,21.80,21.8250,1.15,4943,0,13467
06/14/2016,Z (Dec 16),21.76,22.11,21.30,21.55,21.5250,-0.30,6528,0,14247
06/15/2016,Z (Dec 16),21.63,21.75,20.85,21.20,21.2250,-0.30,4858,0,13920
06/16/2016,Z (Dec 16),21.27,22.13,20.77,20.95,20.9750,-0.25,5609,0,14746
06/17/2016,Z (Dec 16),21.00,21.13,20.73,21.05,21.0250,0.05,4064,0,15177
06/20/2016,Z (Dec 16),20.65,20.85,20.10,20.29,20.3000,-0.72,3470,0,15175
06/21/2016,Z (Dec 16),20.25,20.44,19.95,20.30,20.2750,-0.02,4462,0,15739
06/22/2016,Z (Dec 16),20.25,20.45,19.90,20.05,20.0750,-0.20,7801,0,16307
06/23/2016,Z (Dec 16),20.05,20.20,19.20,19.30,19.2750,-0.80,6375,0,15508
06/24/2016,Z (Dec 16),19.24,24.00,19.05,21.55,21.6000,2.32,13027,0,15818
06/27/2016,Z (Dec 16),21.78,22.45,21.10,22.43,22.4250,0.82,7316,0,16586
06/28/2016,Z (Dec 16),22.25,22.25,20.58,20.65,20.6250,-1.80,6304,0,16217
06/29/2016,Z (Dec 16),20.65,20.72,20.10,20.11,20.0750,-0.55,4650,0,16699
06/30/2016,Z (Dec 16),20.16,20.40,19.95,20.05,20.0250,-0.05,4798,0,17578
07/01/2016,Z (Dec 16),20.10,20.40,19.97,20.17,20.1750,0.15,4242,0,18651
07/05/2016,Z (Dec 16),20.10,20.70,19.90,20.15,20.1250,-0.05,5272,0,19043
07/06/2016,Z (Dec 16),20.13,20.59,19.98,20.03,20.0750,-0.05,6439,0,20865
07/07/2016,Z (Dec 16),20.10,20.43,19.90,20.02,20.0250,-0.05,4510,0,21521
07/08/2016,Z (Dec 16),20.05,20.15,19.38,19.60,19.5750,-0.45,4686,0,21879
07/11/2016,Z (Dec 16),19.55,19.60,19.26,19.53,19.5250,-0.05,3586,0,22360
07/12/2016,Z (Dec 16),19.55,19.57,19.22,19.25,19.2250,-0.30,5559,0,23497
07/13/2016,Z (Dec 16),19.22,19.35,19.09,19.19,19.1750,-0.05,3641,0,23473
07/14/2016,Z (Dec 16),19.15,19.17,18.80,19.10,19.0750,-0.10,4217,0,24071
07/15/2016,Z (Dec 16),19.00,19.37,19.00,19.27,19.2750,0.20,4308,0,24979
07/18/2016,Z (Dec 16),19.25,19.30,18.90,18.98,18.9750,-0.30,4549,0,25458
07/19/2016,Z (Dec 16),18.93,19.24,18.93,19.05,19.0250,0.05,5549,0,26500
07/20/2016,Z (Dec 16),19.05,19.15,18.85,18.94,18.9250,-0.10,6498,0,26994
07/21/2016,Z (Dec 16),18.95,19.40,18.85,19.33,19.3250,0.40,5263,0,27578
07/22/2016,Z (Dec 16),19.35,19.35,18.92,19.09,19.0750,-0.25,6037,0,27642
07/25/2016,Z (Dec 16),19.07,19.39,18.95,19.20,19.1750,0.10,4393,0,28404
07/26/2016,Z (Dec 16),19.19,19.42,19.05,19.14,19.1250,-0.05,4284,0,28925
07/27/2016,Z (Dec 16),19.15,19.35,18.90,19.00,19.0250,-0.10,6258,0,28654
07/28/2016,Z (Dec 16),19.00,19.22,18.70,18.73,18.7250,-0.30,5141,0,29699
07/29/2016,Z (Dec 16),18.70,18.90,18.34,18.40,18.3750,-0.35,8163,0,28473
08/01/2016,Z (Dec 16),18.30,18.60,18.12,18.30,18.2750,-0.10,8107,0,29361
08/02/2016,Z (Dec 16),18.30,18.96,18.18,18.65,18.6750,0.40,6832,0,29365
08/03/2016,Z (Dec 16),18.65,18.91,18.45,18.50,18.4750,-0.20,4716,0,29271
08/04/2016,Z (Dec 16),18.50,18.55,18.25,18.37,18.3750,-0.10,5212,0,29724
08/05/2016,Z (Dec 16),18.37,18.41,18.02,18.16,18.1750,-0.20,5791,0,30030
08/08/2016,Z (Dec 16),18.15,18.15,17.90,17.95,17.9250,-0.25,5667,0,30228
08/09/2016,Z (Dec 16),17.95,17.97,17.52,17.70,17.6750,-0.25,5338,0,30619
08/10/2016,Z (Dec 16),17.70,18.05,17.55,17.88,17.8750,0.20,8245,0,33277
08/11/2016,Z (Dec 16),17.90,18.00,17.60,17.95,17.9250,0.05,5329,0,32445
08/12/2016,Z (Dec 16),17.90,18.15,17.85,18.00,17.9750,0.05,9008,0,34579
08/15/2016,Z (Dec 16),17.95,18.00,17.70,17.95,17.9250,-0.05,5227,0,35535
08/16/2016,Z (Dec 16),17.95,18.28,17.90,18.24,18.2250,0.30,9332,0,38922
08/17/2016,Z (Dec 16),18.23,18.54,18.00,18.07,18.0750,-0.15,12195,0,38998
08/18/2016,Z (Dec 16),18.05,18.25,17.95,18.10,18.0750,0.00,8918,0,40423
08/19/2016,Z (Dec 16),18.08,18.35,18.05,18.18,18.1750,0.10,5944,0,39986
08/22/2016,Z (Dec 16),18.17,18.35,18.15,18.22,18.2250,0.05,7854,0,42196
08/23/2016,Z (Dec 16),18.25,18.35,18.05,18.30,18.3250,0.10,5036,0,41867
08/24/2016,Z (Dec 16),18.30,18.55,18.30,18.45,18.4250,0.10,8885,0,44113
08/25/2016,Z (Dec 16),18.42,18.55,18.25,18.25,18.2750,-0.15,6657,0,43827
08/26/2016,Z (Dec 16),18.29,18.63,17.99,18.45,18.4250,0.15,7408,0,43765
08/29/2016,Z (Dec 16),18.45,18.45,18.18,18.30,18.2750,-0.15,5283,0,44602
08/30/2016,Z (Dec 16),18.30,18.35,18.14,18.23,18.2250,-0.05,5375,0,44577
08/31/2016,Z (Dec 16),18.20,18.47,18.15,18.16,18.1750,-0.05,5267,0,44186
09/01/2016,Z (Dec 16),18.20,18.45,18.05,18.10,18.1250,-0.05,6587,0,43644
09/02/2016,Z (Dec 16),18.15,18.30,17.96,18.10,18.0750,-0.05,10633,0,44624
09/06/2016,Z (Dec 16),18.05,18.10,17.70,17.70,17.7250,-0.35,6888,0,44667
09/07/2016,Z (Dec 16),17.73,17.85,17.65,17.65,17.6750,-0.05,4891,0,44638
09/08/2016,Z (Dec 16),17.69,17.90,17.60,17.84,17.8250,0.15,6860,0,45105
09/09/2016,Z (Dec 16),17.85,19.19,17.80,19.07,19.0750,1.25,23740,0,48579
09/12/2016,Z (Dec 16),19.10,19.40,18.30,18.43,18.4750,-0.60,32345,0,45800
09/13/2016,Z (Dec 16),18.45,19.50,18.41,18.99,18.9750,0.50,32456,0,46568
09/14/2016,Z (Dec 16),19.00,19.45,18.75,19.42,19.4250,0.45,20933,0,47587
09/15/2016,Z (Dec 16),19.40,19.55,18.77,19.07,19.0750,-0.35,21812,0,50190
09/16/2016,Z (Dec 16),19.05,19.40,18.70,18.70,18.7250,-0.35,14318,0,50772
09/19/2016,Z (Dec 16),18.70,18.87,18.24,18.55,18.5250,-0.20,27528,0,54183
09/20/2016,Z (Dec 16),18.52,18.75,18.34,18.74,18.7250,0.20,18895,0,56336
09/21/2016,Z (Dec 16),18.73,18.80,17.90,18.15,18.1250,-0.60,31948,0,57234
09/22/2016,Z (Dec 16),18.10,18.10,17.55,17.60,17.6250,-0.50,19978,0,57950
09/23/2016,Z (Dec 16),17.63,17.78,17.40,17.73,17.7250,0.10,23479,0,58507
09/26/2016,Z (Dec 16),17.75,18.30,17.61,17.91,17.9250,0.20,18853,0,59479
09/27/2016,Z (Dec 16),17.90,18.13,17.35,17.49,17.4750,-0.45,23523,0,58419
09/28/2016,Z (Dec 16),17.45,17.77,17.20,17.30,17.3000,-0.18,24078,0,60535
09/29/2016,Z (Dec 16),17.30,18.15,17.18,17.50,17.4750,0.18,34288,0,62167
09/30/2016,Z (Dec 16),17.48,17.97,17.26,17.40,17.4500,-0.02,22099,0,62642
10/03/2016,Z (Dec 16),17.49,17.62,17.18,17.25,17.2250,-0.22,18459,0,62936
10/04/2016,Z (Dec 16),17.25,17.49,17.00,17.05,17.0250,-0.20,25536,0,65731
10/05/2016,Z (Dec 16),17.05,17.23,16.92,17.12,17.1750,0.15,14275,0,68604
10/06/2016,Z (Dec 16),17.20,17.35,17.02,17.09,17.0750,-0.10,15679,0,71381
10/07/2016,Z (Dec 16),17.10,17.45,16.98,17.27,17.2750,0.20,21490,0,73022
10/10/2016,Z (Dec 16),17.20,17.20,16.87,16.94,16.9250,-0.35,13234,0,74749
10/11/2016,Z (Dec 16),16.90,17.70,16.90,17.43,17.4250,0.50,34732,0,77724
10/12/2016,Z (Dec 16),17.40,17.65,17.15,17.63,17.6250,0.20,27406,0,84499
10/13/2016,Z (Dec 16),17.60,18.28,17.58,17.84,17.8250,0.20,49598,0,80862
10/14/2016,Z (Dec 16),17.80,17.89,17.30,17.64,17.6250,-0.20,38540,0,87803
10/17/2016,Z (Dec 16),17.60,17.87,17.30,17.44,17.4250,-0.20,32636,0,93592
10/18/2016,Z (Dec 16),17.45,17.50,17.00,17.15,17.1250,-0.30,26899,0,95009
10/19/2016,Z (Dec 16),17.15,17.18,16.68,16.82,16.8250,-0.30,56061,0,98981
10/20/2016,Z (Dec 16),16.85,17.07,16.60,16.65,16.6750,-0.15,51056,40,99806
10/21/2016,Z (Dec 16),16.70,16.94,16.40,16.52,16.5250,-0.15,56564,0,102239
10/24/2016,Z (Dec 16),16.50,16.62,16.00,16.05,16.0750,-0.45,50043,0,108320
10/25/2016,Z (Dec 16),16.05,16.35,15.95,16.23,16.2250,0.15,57323,0,111800
10/26/2016,Z (Dec 16),16.20,16.52,16.15,16.47,16.4750,0.25,63797,0,117995
10/27/2016,Z (Dec 16),16.45,16.90,16.15,16.86,16.8750,0.40,71670,0,122966
10/28/2016,Z (Dec 16),16.85,17.33,16.55,17.08,17.1000,0.22,105309,0,128354
10/31/2016,Z (Dec 16),17.20,17.48,16.90,17.41,17.4250,0.32,67849,0,134138
11/01/2016,Z (Dec 16),17.40,18.38,17.22,17.90,17.8750,0.45,103418,356,139108
11/02/2016,Z (Dec 16),17.85,18.25,17.67,18.25,18.2250,0.35,99708,989,144670
11/03/2016,Z (Dec 16),18.20,19.10,17.85,19.01,19.0250,0.80,113459,1089,155814
11/04/2016,Z (Dec 16),19.00,19.05,18.34,18.98,18.9750,-0.05,130301,0,156755
11/07/2016,Z (Dec 16),17.90,18.10,16.53,16.58,16.5750,-2.40,128517,0,166108
11/08/2016,Z (Dec 16),16.60,17.10,16.25,16.60,16.5750,0.00,129327,0,175562
11/09/2016,Z (Dec 16),16.55,21.25,15.68,15.73,15.7250,-0.85,234595,0,186776
11/10/2016,Z (Dec 16),15.75,16.98,15.30,16.27,16.2750,0.55,206857,0,203293
11/11/2016,Z (Dec 16),16.30,16.98,15.93,16.11,16.1250,-0.15,125010,0,209168
11/14/2016,Z (Dec 16),16.15,16.70,15.70,15.98,15.9750,-0.15,117981,0,220135
11/15/2016,Z (Dec 16),16.05,16.15,15.27,15.30,15.2750,-0.70,156162,0,247897
11/16/2016,Z (Dec 16),15.30,15.80,15.25,15.60,15.5750,0.30,128952,600,227608
11/17/2016,Z (Dec 16),15.60,15.65,15.00,15.03,15.0250,-0.55,110663,0,218031
11/18/2016,Z (Dec 16),15.05,15.45,14.90,14.95,14.9750,-0.05,99475,0,216141
11/21/2016,Z (Dec 16),14.95,15.06,14.25,14.45,14.4750,-0.50,80002,0,212131
11/22/2016,Z (Dec 16),14.45,14.75,14.20,14.45,14.4250,-0.05,98692,0,207890
